Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2021-01-04,125.97445678710938,130.06295318684514,123.39480688941487,129.97534605093776,143301900
1,2021-01-05,127.5319595336914,128.2425902906654,125.02045122966085,125.46824574975814,97664900
2,2021-01-06,123.23905181884766,127.570918733124,123.02489113823766,124.32932099883892,155088000
3,2021-01-07,127.44438934326172,128.1355470987152,124.46562730765885,124.95235351880193,109578200
4,2021-01-08,128.5443878173828,129.10899197173987,126.77269738263777,128.91428961570313,105158200
5,2021-01-11,125.55587005615234,126.71428063801753,125.08861712398671,125.76030156918269,100384500
6,2021-01-12,125.38066101074219,126.24703297603195,123.49216114503781,125.08862234580894,91951100
7,2021-01-13,127.41514587402344,127.96027667813408,125.07886675534918,125.34168812995227,88636800
8,2021-01-14,125.48775482177734,127.52226681135943,125.34172804679318,127.32757929841898,90221800
9,2021-01-15,123.76472473144531,126.76295959555424,123.6284420036996,125.36118590805361,111598500
10,2021-01-19,124.43641662597656,125.29305945365387,123.570044622059,124.38774103736687,90757300
11,2021-01-20,128.52491760253906,128.97271223666024,125.13730745125214,125.24438780808299,104319500
12,2021-01-21,133.23641967773438,135.96208925479198,130.0434971272025,130.2479286583061,120150900
13,2021-01-22,135.3780059814453,136.13729751698824,131.435521560002,132.66206599733243,114459400
14,2021-01-25,139.12576293945312,141.23815207113262,132.91513420833974,139.27178965679641,157611700
15,2021-01-26,139.35943603515625,140.4691710725819,137.61694808504978,139.78775742744395,98390600
16,2021-01-27,138.28863525390625,140.46917381461645,136.6824448551771,139.6222601892596,140843800
17,2021-01-28,133.45059204101562,138.22051793091006,133.07094618183902,135.8160892048896,142621100
18,2021-01-29,128.45675659179688,133.10985683778753,126.7532152717128,132.22401178645546,177523800
19,2021-02-01,130.57887268066406,131.78595871131816,127.45408469869479,130.19922693086417,106239800
20,2021-02-02,131.4063262939453,132.69127555683025,131.0364096809211,132.12667146199954,83305400
21,2021-02-03,130.38418579101562,132.16560504134387,130.06294479305137,132.15586101329262,89880900
22,2021-02-04,133.7425994873047,133.75232866214105,131.01693030921246,132.68154013575978,84183100
23,2021-02-05,133.3282928466797,133.9717351183683,132.45088238594224,133.90349935519643,75693800
24,2021-02-08,133.47450256347656,133.52325088194496,131.53443254526087,132.6165797613071,71297200
25,2021-02-09,132.5970916748047,134.4201778248724,132.44111786524098,133.19178552172198,76774200
26,2021-02-10,131.99266052246094,133.5525177010359,131.02749721967888,133.0553056014661,73046600
27,2021-02-11,131.73922729492188,132.96760512907028,130.41335278108824,132.4898952000602,64280000
28,2021-02-12,131.97315979003906,132.12914848493614,130.33532312132203,130.9787653308469,60145100
29,2021-02-16,129.8478546142578,132.5970843838598,129.4578829220419,132.0901434978276,80576300
30,2021-02-17,127.55680084228516,128.9021769728661,126.22118330017902,127.95651619642835,97918500
31,2021-02-18,126.45520782470703,126.7379243413023,124.2129184957959,125.95799567786774,96856700
32,2021-02-19,126.6111831665039,127.43011645462201,125.56804028149355,126.97190891723642,87668800
33,2021-02-22,122.83826446533203,126.46491917771368,122.44830023340782,124.797821900289,103916400
34,2021-02-23,122.70179748535156,123.53046696039274,115.41924089427319,120.65449424173501,158273000
35,2021-02-24,122.20458221435547,122.40931177714582,119.16287735238498,121.80487424070276,111039900
36,2021-02-25,117.95399475097656,123.28673718148006,117.51528958023444,121.55140392768223,148199500
37,2021-02-26,118.21721649169922,121.71712880247114,118.15871701805524,119.51383705660506,164560400
38,2021-03-01,124.58335876464844,124.71984514122286,119.70882406427694,120.64473383419431,116307900
39,2021-03-02,121.98035430908203,125.49001767022227,121.87311395477933,125.18779891061432,102260900
40,2021-03-03,118.99713134765625,122.55554294590044,118.78265064406548,121.6781252666424,112966300
41,2021-03-04,117.11558532714844,120.49851409881295,115.64348098558409,118.69493748094318,178155000
42,2021-03-05,118.37319946289062,118.88015523948293,114.61980921267136,117.9442454649468,153766600
43,2021-03-08,113.4401626586914,117.96372988743823,113.29392514231552,117.89548670485603,154376600
44,2021-03-09,118.05148315429688,118.99714411910483,115.80920155325997,116.04317714685729,129525800
45,2021-03-10,116.9693374633789,119.10437859558475,116.45263053937967,118.63642743151894,111943300
46,2021-03-11,118.89964294433594,120.1182765520443,118.21721109919896,119.46509072342045,103026500
47,2021-03-12,117.99298858642578,118.12947496626138,116.16991732521446,117.37879987716553,88105100
48,2021-03-15,120.87870788574219,120.8884590376453,117.39829045128926,118.36345366505867,92403800
49,2021-03-16,122.41905212402344,124.02764990448209,121.59038279407473,122.545787336103,115227900
50,2021-03-17,121.62938690185547,122.7017830040472,119.27010655149442,120.93720389555035,111932600
51,2021-03-18,117.50553894042969,120.08904396527872,117.30080936399335,119.79656889154106,121229700
52,2021-03-19,116.97909545898438,118.3829639984745,116.67687665204714,116.89135739424152,185549500
53,2021-03-22,120.29377746582031,120.76173611147584,117.24232114898952,117.31056434336112,111912300
54,2021-03-23,119.465087890625,121.12242658262932,119.07512365781542,120.2352652049879,95467100
55,2021-03-24,117.07657623291016,119.81606991796893,117.05708136591241,119.73807557407793,88530500
56,2021-03-25,117.56401824951172,118.60717576184044,116.01391986522562,116.54037047817636,98844700
57,2021-03-26,118.16846466064453,118.43169368935105,115.93592696323272,117.33004413015976,94071200
58,2021-03-29,118.34395599365234,119.50409766319855,117.70052126390267,118.59743388740822,80819200
59,2021-03-30,116.891357421875,117.3788109495409,115.87745319177584,117.09608701094061,85671900
60,2021-03-31,119.08488464355469,120.42050239594532,118.10997769999379,118.59743117177423,118323800
61,2021-04-01,119.9135513305664,121.06394179532072,119.41634671803331,120.55699346889742,75089100
62,2021-04-05,122.74078369140625,122.99426157524732,119.98179530076379,120.7617238181442,88651200
63,2021-04-06,123.0429916381836,123.93990414772982,122.49704618679874,123.32571551492187,80171300
64,2021-04-07,124.69058227539062,124.71007713886019,121.99983740172254,122.67252547962673,83466700
65,2021-04-08,127.0888671875,127.11811320514343,125.29504201784057,125.71424485466245,88844600
66,2021-04-09,129.66261291503906,129.70160264420477,126.22119287511026,126.54291392534559,106686700
67,2021-04-12,127.94679260253906,129.5163933763926,127.35209877205047,129.19467229997423,91420000
68,2021-04-13,131.05670166015625,131.28094091371676,128.61943488933525,129.11664683115606,91266500
69,2021-04-14,128.71694946289062,131.6124239805342,128.35623869078685,131.55393195001986,87222800
70,2021-04-15,131.125,131.6124535315985,130.2865793306145,130.4620703374586,89347100
71,2021-04-16,130.79351806640625,131.29071524829968,129.9355952026849,130.93000444237106,84922400
72,2021-04-19,131.45645141601562,132.07064756343885,129.99409097045535,130.15982336917756,94264200
73,2021-04-20,129.76988220214844,132.12915555406386,128.502500021129,131.6319582978669,94812300
74,2021-04-21,130.1500701904297,130.39379691363274,128.00527800142257,129.0386769276597,68847100
75,2021-04-22,128.6292266845703,130.78376273570044,128.11252718583415,129.7016154150474,84566500
76,2021-04-23,130.94952392578125,131.72943767595572,128.8437210981472,128.8437210981472,78657500
77,2021-04-26,131.33946228027344,131.67092706494682,130.2085666757299,131.44670263718533,66905100
78,2021-04-27,131.0177459716797,132.01215523774303,130.7447732125093,131.62218352757128,66015800
79,2021-04-28,130.2280731201172,131.6319415185454,129.74061964154626,130.93975103357886,107760100
80,2021-04-29,130.1305694580078,133.630496551131,129.12641653636294,133.0455464580238,151101000
81,2021-04-30,128.16127014160156,130.20856574635297,127.78105703815494,128.47323262027362,109839500
82,2021-05-03,129.21417236328125,130.70579381831388,128.52199669631204,128.72671884393358,75135100
83,2021-05-04,124.64186096191406,128.19052935599137,123.52071640184118,127.89805427494618,137564700
84,2021-05-05,124.88558959960938,127.17661206810328,124.75884693241741,125.95797834787251,84000900
85,2021-05-06,126.48444366455078,126.49418737954478,123.93992827849607,124.68085970531065,78128300
86,2021-05-07,127.15827941894531,128.18365868536526,126.44537767413243,127.78327916566757,78973300
87,2021-05-10,123.87701416015625,126.50396354467914,123.83795074636984,126.37702048839593,88071200
88,2021-05-11,122.95903778076172,123.3105935686965,119.89262343355486,120.60551762571262,126142800
89,2021-05-12,119.89263153076172,121.71880695136791,119.38482206893003,120.50787096501224,112172300
90,2021-05-13,122.04106903076172,123.19341357180042,121.34771025318693,121.66021008886267,105861300
91,2021-05-14,124.46293640136719,124.892626453878,122.90043727939631,123.29106392253492,81918000
92,2021-05-17,123.31057739257812,123.95511239550505,122.23635983828252,123.84768989501724,74244600
93,2021-05-18,121.92388916015625,124.01373338582823,121.8555300481234,123.5938109974595,63342900
94,2021-05-19,121.76760864257812,121.99221389714616,119.98049706654153,120.27346886446246,92612000
95,2021-05-20,124.32623291015625,124.72662731567783,122.16802957831719,122.29498753645058,76857100
96,2021-05-21,122.49028015136719,125.00004641017311,122.27543512950636,124.82426479688547,79295400
97,2021-05-24,124.12113189697266,124.94144853323611,122.9883229095211,123.05668200832781,63092900
98,2021-05-25,123.92583465576172,125.31255964913692,123.35942638033971,124.82427074399982,72009500
99,2021-05-26,123.87701416015625,124.40435907039624,123.45709177518279,123.98443668542278,56575900
100,2021-05-27,122.34379577636719,124.64848475719648,122.14848618161899,123.47661228754039,94625600
101,2021-05-28,121.68950653076172,122.85161879427051,121.63091513952054,122.62700604353964,71311100
102,2021-06-01,121.36724853515625,122.41217064788405,121.03522069119808,122.14850191595166,67637100
